row_id,testament,book,chapter,verse,reference,term_id,occurrence_index,start,end,matched,before,after,verse_text,suggestion,risk,term_note,reviewer,decision,replacement,notes
200ca83beed3121d3688,OT,GEN,1,28,GEN 1:28,dijoles,1,22,29,díjoles,Y los bendijo Dios; y,"Dios: Fructifiquen y multipliquen, y hinchan la tierra, y sojúzguenla","Y los bendijo Dios; y díjoles Dios: Fructifiquen y multipliquen, y hinchan la tierra, y sojúzguenla, y señoreen en los peces de la mar, y en las aves de los cielos, y en todas las bestias que se mueven sobre la tierra.",les dijo,low,Forma enclitica arcaica.,Codex-assisted,replace,les dijo,Modernización de forma enclítica arcaica.
5b39fbeb031940666156,OT,GEN,2,5,GEN 2:5,fuese,1,34,39,fuese,Y toda planta del campo antes que,"en la tierra, y toda hierba del campo antes que naciese: porque aun n","Y toda planta del campo antes que fuese en la tierra, y toda hierba del campo antes que naciese: porque aun no había Jehová Dios hecho llover sobre la tierra, ni había hombre para que labrase la tierra;",se fue,medium,Puede requerir ajustar la frase completa.,,,,
50f6efb3fb9c4df97b38,OT,GEN,9,1,GEN 9:1,dijoles,2,38,45,díjoles,"Y bendijo Dios a Noé y a sus hijos, y",": Fructifiquen, y multipliquen, y hinchan la tierra:","Y bendijo Dios a Noé y a sus hijos, y díjoles: Fructifiquen, y multipliquen, y hinchan la tierra:",les dijo,low,Forma enclitica arcaica.,Codex-assisted,replace,les dijo,Modernización de forma enclítica arcaica.
4fbf08d48ca2c7a18685,OT,GEN,12,4,GEN 12:4,fuese,2,2,7,fuése,Y,"Abram, como Jehová le dijo; y fue con él Lot: y era Abram de edad de","Y fuése Abram, como Jehová le dijo; y fue con él Lot: y era Abram de edad de setenta y cinco años cuando salió de Harán.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
fce881b4da1dc86a8757,OT,GEN,13,11,GEN 13:11,partiose,1,59,67,partióse,Entonces Lot escogió para sí toda la llanura del Jordán: y,"Lot de Oriente, y apartáronse el uno del otro.","Entonces Lot escogió para sí toda la llanura del Jordán: y partióse Lot de Oriente, y apartáronse el uno del otro.",se fue,medium,Puede significar partir/salir; revisar contexto.,,,,
1307a87efb3a31116f12,OT,GEN,18,33,GEN 18:33,fuese,3,2,7,fuése,Y,"Jehová, luego que acabó de hablar a Abraham: y Abraham se volvió a su","Y fuése Jehová, luego que acabó de hablar a Abraham: y Abraham se volvió a su lugar.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
7b0942f78860d20b035f,OT,GEN,21,16,GEN 21:16,fuese,4,2,7,fuése,Y,"y sentóse enfrente, alejándose como un tiro de arco; porque decía: No","Y fuése y sentóse enfrente, alejándose como un tiro de arco; porque decía: No veré cuando el muchacho morirá: y sentóse enfrente, y alzó su voz y lloró.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
4e8ab061f8bfb2a27d7a,OT,GEN,23,5,GEN 23:5,dijeronle,1,46,55,dijéronle,"Y respondieron los hijos de Heth a Abraham, y",:,"Y respondieron los hijos de Heth a Abraham, y dijéronle:",le dijeron,low,Forma enclitica arcaica.,Codex-assisted,replace,le dijeron,Modernización de forma enclítica arcaica.
767b2d1c04da4be573a3,OT,GEN,24,10,GEN 24:10,fuese,5,62,67,fuése,"Y el criado tomó diez camellos de los camellos de su señor, y",", pues tenía a su disposición todos los bienes de su señor: y puesto e","Y el criado tomó diez camellos de los camellos de su señor, y fuése, pues tenía a su disposición todos los bienes de su señor: y puesto en camino, llegó a Mesopotamia, a la ciudad de Nachôr.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
347d172a218d53bd4029,OT,GEN,24,58,GEN 24:58,dijeronle,2,23,32,dijéronle,"Y llamaron a Rebeca, y",": ¿Irás tú con este varón? Y ella respondió: Sí, iré.","Y llamaron a Rebeca, y dijéronle: ¿Irás tú con este varón? Y ella respondió: Sí, iré.",le dijeron,low,Forma enclitica arcaica.,Codex-assisted,replace,le dijeron,Modernización de forma enclítica arcaica.
4f4a6837494f19a1dc93,OT,GEN,24,60,GEN 24:60,dijeronle,3,25,34,dijéronle,"Y bendijeron a Rebeca, y",": Nuestra hermana eres; seas en millares de millares, y tu generación","Y bendijeron a Rebeca, y dijéronle: Nuestra hermana eres; seas en millares de millares, y tu generación posea la puerta de sus enemigos.",le dijeron,low,Forma enclitica arcaica.,Codex-assisted,replace,le dijeron,Modernización de forma enclítica arcaica.
93187832b518df6133a1,OT,GEN,24,61,GEN 24:61,fuese,6,122,127,fuése,"bre los camellos, y siguieron al hombre; y el criado tomó a Rebeca, y",.,"Levantóse entonces Rebeca y sus mozas, y subieron sobre los camellos, y siguieron al hombre; y el criado tomó a Rebeca, y fuése.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
a858755fba5eb29c62c2,OT,GEN,25,34,GEN 25:34,fuese,7,96,101,fuése,"pan y del guisado de las lentejas; y él comió y bebió, y levantóse, y",. Así menospreció Esaú la primogenitura.,"Entonces Jacob dio a Esaú pan y del guisado de las lentejas; y él comió y bebió, y levantóse, y fuése. Así menospreció Esaú la primogenitura.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
3c099eef3d565f494699,OT,GEN,26,1,GEN 26:1,fuese,8,90,95,fuése,"tierra, además de la primera hambre que fue en los días de Abraham: y","Isaac a Abimelech rey de los Filisteos, en Gerar.","Y hubo hambre en la tierra, además de la primera hambre que fue en los días de Abraham: y fuése Isaac a Abimelech rey de los Filisteos, en Gerar.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
da7abff733bbc9ed6804,OT,GEN,26,27,GEN 26:27,dijoles,3,2,9,díjoles,Y,"Isaac: ¿Por qué vienen a mí, pues que me han aborrecido, y me echaron","Y díjoles Isaac: ¿Por qué vienen a mí, pues que me han aborrecido, y me echaron de entre ustedes?",les dijo,low,Forma enclitica arcaica.,Codex-assisted,replace,les dijo,Modernización de forma enclítica arcaica.
98db3f528a703e563c44,OT,GEN,27,5,GEN 27:5,fuese,9,63,68,fuése,"Y Rebeca estaba oyendo, cuando hablaba Isaac a Esaú su hijo: y",Esaú al campo para coger la caza que había de traer.,"Y Rebeca estaba oyendo, cuando hablaba Isaac a Esaú su hijo: y fuése Esaú al campo para coger la caza que había de traer.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
adb0d687c85a939c5622,OT,GEN,28,9,GEN 28:9,fuese,10,2,7,fuése,Y,"Esaú a Ismael, y tomó para sí por mujer a Mahaleth, hija de Ismael, h","Y fuése Esaú a Ismael, y tomó para sí por mujer a Mahaleth, hija de Ismael, hijo de Abraham, hermana de Nabaioth, además de sus otras mujeres.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
aab70cf5eb21c3b835d9,OT,GEN,29,4,GEN 29:4,dijoles,4,2,9,díjoles,Y,"Jacob: Hermanos míos, ¿de dónde son? Y ellos respondieron: De Harán s","Y díjoles Jacob: Hermanos míos, ¿de dónde son? Y ellos respondieron: De Harán somos.",les dijo,low,Forma enclitica arcaica.,Codex-assisted,replace,les dijo,Modernización de forma enclítica arcaica.
659db765e24f9a179ea4,OT,GEN,30,34,GEN 30:34,fuese,11,26,31,fuese,"Y dijo Labán: Mira, ojalá",como tú dices.,"Y dijo Labán: Mira, ojalá fuese como tú dices.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
ca9198cbdb13244bf5cd,OT,GEN,31,5,GEN 31:5,dijoles,5,2,9,díjoles,Y,: Veo que el semblante de su padre no es para conmigo como ayer y ante,Y díjoles: Veo que el semblante de su padre no es para conmigo como ayer y antes de ayer: pero el Dios de mi padre ha sido conmigo.,les dijo,low,Forma enclitica arcaica.,Codex-assisted,replace,les dijo,Modernización de forma enclítica arcaica.
116d94682d8870f6bdce,OT,GEN,31,14,GEN 31:14,dijeronle,4,28,37,dijéronle,"Y respondió Rachêl y Lea, y",: ¿Tenemos ya parte ni heredad en la casa de nuestro padre?,"Y respondió Rachêl y Lea, y dijéronle: ¿Tenemos ya parte ni heredad en la casa de nuestro padre?",le dijeron,low,Forma enclitica arcaica.,Codex-assisted,replace,le dijeron,Modernización de forma enclítica arcaica.
72bae7f14e699db47189,OT,GEN,34,14,GEN 34:14,dijeronles,1,2,12,dijéronles,Y,: No podemos hacer esto de dar nuestra hermana a hombre que tiene prep,Y dijéronles: No podemos hacer esto de dar nuestra hermana a hombre que tiene prepucio; porque entre nosotros es abominación.,les dijeron,low,Forma enclitica arcaica.,Codex-assisted,replace,les dijeron,Modernización de forma enclítica arcaica.
3ea8842322a81a5620c2,OT,GEN,35,13,GEN 35:13,fuese,12,2,7,fuése,Y,"de él Dios, del lugar donde con él había hablado.","Y fuése de él Dios, del lugar donde con él había hablado.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
f8d0e68bf2faa2382810,OT,GEN,36,6,GEN 36:6,fuese,13,185,190,fuése,"ias, y toda su hacienda que había adquirido en la tierra de Canaán, y",a otra tierra de delante de Jacob su hermano:,"Y Esaú tomó sus mujeres, y sus hijos, y sus hijas, y todas las personas de su casa, y sus ganados, y todas sus bestias, y toda su hacienda que había adquirido en la tierra de Canaán, y fuése a otra tierra de delante de Jacob su hermano:",se fue,medium,Puede requerir ajustar la frase completa.,,,,
248e83f46a8ea12a2a5b,OT,GEN,37,22,GEN 37:22,dijoles,6,2,9,díjoles,Y,Rubén: No derramen sangre; échenlo en esta cisterna que está en el de,"Y díjoles Rubén: No derramen sangre; échenlo en esta cisterna que está en el desierto, y no pongan mano en él; por librarlo así de sus manos, para hacerlo volver a su padre.",les dijo,low,Forma enclitica arcaica.,Codex-assisted,replace,les dijo,Modernización de forma enclítica arcaica.
709f2e3d30a687fd1251,OT,GEN,38,1,GEN 38:1,fuese,14,71,76,fuése,"aconteció en aquel tiempo, que Judá descendió de con sus hermanos, y","a un varón Adullamita, que se llamaba Hira.","Y aconteció en aquel tiempo, que Judá descendió de con sus hermanos, y fuése a un varón Adullamita, que se llamaba Hira.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
2918a835d6fc6d0700c3,OT,GEN,38,11,GEN 38:11,fuese,15,160,165,fuése,hijo; porque dijo: Que quizá no muera él también como sus hermanos. Y,"Thamar, y estúvose en casa de su padre.","Y Judá dijo a Thamar su nuera: Estáte viuda en casa de tu padre, hasta que crezca Sela mi hijo; porque dijo: Que quizá no muera él también como sus hermanos. Y fuése Thamar, y estúvose en casa de su padre.",se fue,medium,Puede requerir ajustar la frase completa.,,,,
